datetime,timestamp,cpu_cu,pixel_x
2026-02-02 02:04:19,1769994259,0.0222,50.581
2026-02-02 02:04:40,1769994280,0.0222,50.792
2026-02-02 02:05:00,1769994300,0.0223,51.002
2026-02-02 02:05:19,1769994319,0.0224,51.212
2026-02-02 02:05:39,1769994339,0.0227,51.422
2026-02-02 02:06:00,1769994360,0.0227,51.633
2026-02-02 02:06:20,1769994380,0.0227,51.843
2026-02-02 02:06:39,1769994399,0.0227,52.053
2026-02-02 02:06:59,1769994419,0.0227,52.263
2026-02-02 02:07:20,1769994440,0.0227,52.474
2026-02-02 02:07:40,1769994460,0.0228,52.684
2026-02-02 02:07:59,1769994479,0.0228,52.894
2026-02-02 02:08:20,1769994500,0.0228,53.105
2026-02-02 02:08:40,1769994520,0.0224,53.315
2026-02-02 02:08:59,1769994539,0.022,53.525
2026-02-02 02:09:19,1769994559,0.0216,53.735
2026-02-02 02:09:40,1769994580,0.0202,53.946
2026-02-02 02:10:00,1769994600,0.0202,54.156
2026-02-02 02:10:19,1769994619,0.0202,54.366
2026-02-02 02:10:39,1769994639,0.0237,54.576
2026-02-02 02:11:00,1769994660,0.0237,54.787
2026-02-02 02:11:20,1769994680,0.0237,54.997
2026-02-02 02:11:39,1769994699,0.0225,55.207
2026-02-02 02:11:59,1769994719,0.0225,55.417
2026-02-02 02:12:20,1769994740,0.0225,55.628
2026-02-02 02:12:40,1769994760,0.0225,55.838
2026-02-02 02:12:59,1769994779,0.0225,56.048
2026-02-02 02:13:20,1769994800,0.0225,56.259
2026-02-02 02:13:40,1769994820,0.022,56.469
2026-02-02 02:13:59,1769994839,0.022,56.679
2026-02-02 02:14:19,1769994859,0.022,56.889
2026-02-02 02:14:40,1769994880,0.0222,57.1
2026-02-02 02:15:00,1769994900,0.0223,57.31
2026-02-02 02:15:19,1769994919,0.0224,57.52
2026-02-02 02:15:39,1769994939,0.0226,57.73
2026-02-02 02:16:00,1769994960,0.0227,57.941
2026-02-02 02:16:20,1769994980,0.0227,58.151
2026-02-02 02:16:39,1769994999,0.0228,58.361
2026-02-02 02:16:59,1769995019,0.0228,58.571
2026-02-02 02:17:20,1769995040,0.0228,58.782
2026-02-02 02:17:40,1769995060,0.0215,58.992
2026-02-02 02:17:59,1769995079,0.0215,59.202
2026-02-02 02:18:19,1769995099,0.0215,59.412
2026-02-02 02:18:40,1769995120,0.0215,59.623
2026-02-02 02:18:59,1769995139,0.0215,59.833
2026-02-02 02:19:19,1769995159,0.0215,60.043
2026-02-02 02:19:40,1769995180,0.0225,60.254
2026-02-02 02:20:00,1769995200,0.0225,60.464
2026-02-02 02:20:19,1769995219,0.0225,60.674
2026-02-02 02:20:39,1769995239,0.0213,60.884
2026-02-02 02:21:00,1769995260,0.0213,61.095
2026-02-02 02:21:20,1769995280,0.0213,61.305
2026-02-02 02:21:39,1769995299,0.0217,61.515
2026-02-02 02:21:59,1769995319,0.0218,61.725
2026-02-02 02:22:20,1769995340,0.022,61.936
2026-02-02 02:22:40,1769995360,0.0223,62.146
2026-02-02 02:22:59,1769995379,0.0223,62.356
2026-02-02 02:23:19,1769995399,0.0223,62.566
2026-02-02 02:23:40,1769995420,0.0222,62.777
2026-02-02 02:23:59,1769995439,0.022,62.987
2026-02-02 02:24:19,1769995459,0.0218,63.197
2026-02-02 02:24:40,1769995480,0.0213,63.408
2026-02-02 02:25:00,1769995500,0.0213,63.618
2026-02-02 02:25:19,1769995519,0.0213,63.828
2026-02-02 02:25:39,1769995539,0.0232,64.038
2026-02-02 02:26:00,1769995560,0.0232,64.249
2026-02-02 02:26:20,1769995580,0.0232,64.459
2026-02-02 02:26:39,1769995599,0.023,64.669
2026-02-02 02:26:59,1769995619,0.023,64.879
2026-02-02 02:27:20,1769995640,0.023,65.09
2026-02-02 02:27:40,1769995660,0.0232,65.3
2026-02-02 02:27:59,1769995679,0.0232,65.51
2026-02-02 02:28:19,1769995699,0.0232,65.72
2026-02-02 02:28:40,1769995720,0.0232,65.931
2026-02-02 02:28:59,1769995739,0.0232,66.141
2026-02-02 02:29:19,1769995759,0.0232,66.351
2026-02-02 02:29:40,1769995780,0.0213,66.562
2026-02-02 02:30:00,1769995800,0.0213,66.772
2026-02-02 02:30:19,1769995819,0.0213,66.982
2026-02-02 02:30:39,1769995839,0.0236,67.192
2026-02-02 02:31:00,1769995860,0.0238,67.403
2026-02-02 02:31:20,1769995880,0.0241,67.613
2026-02-02 02:31:39,1769995899,0.0242,67.823
2026-02-02 02:31:59,1769995919,0.0242,68.033
2026-02-02 02:32:20,1769995940,0.0242,68.244
2026-02-02 02:32:40,1769995960,0.0224,68.454
2026-02-02 02:32:59,1769995979,0.0222,68.664
